Band;Ort Grimm;Ort XY;Y;X;Jahr eigene;Jahr;Region eigene;Region Grimm;Wein
5;Hoerdt;HÃ¶rdt;49,16555556;8,326388889;1565;1565;Elsass;Elsass;ei
1;Landau;X;49,199444;8,123056;1295;1295;Elsass;Elsass;
5;Offenheim;;49,72555556;8,030277778;1477;vor 1478;Elsass;Elsass;i
5;Wasserburg;X;49;8;1441;1441;Elsass;Elsass;
5;Rittershofen;X;48,90361111;7,951666667;1385;1385;Elsass;Elsass;
1;Alsenzbruck bei Winnweiler Donnersberg;X;49,565;7,881944;1507;1507;Elsass;Elsass;
5;Mattstall;X;48,986807;7,760403;NN;NN;Elsass;Elsass;
1;Fegersheim bei Strasbourg;X;48,490556;7,680278;NN;NN;Elsass;Elsass;
5;Dingsheim;;48,63055556;7,669722222;1350;14.Jh.;Elsass;Elsass;i
5;Erstein;;48,42194444;7,661111111;1407;1407;Elsass;Elsass;i
5;Achenheim;;48,58111111;7,626944444;1423;1423;Elsass;Elsass;i
1;Swindrazheim bei Brumat und Buchsweilser;X;48,756944;7,601667;NN;NN;Elsass;Elsass;
1;Ãœtenheim = Ittemheim bei Strasbourg und Wangen;X;48,604167;7,594444;1550;16. Jh.;Elsass;Elsass;
5;DÃ¼ppigheim;X;48,52861111;7,593611111;1528;1528;Elsass;Elsass;
1;Hohenfrankenheim bei Brumat, MaursmÃ¼nster;X;48,730833;7,577222;NN;NN;Elsass;Elsass;ei
4;Volgelsheim bei Neubreisach;X;48,015833;7,547778;1390;14. Jh. Ende;Elsass;Elsass;
4;Balgau;X;47,92805556;7,540277778;1471;1471;Elsass;Elsass;
5;Waltorf Jetzt Bosselshausen;Bosselshausen;49;7,5111;1538;1538;Elsass;Elsass;ei
4;Ohnenheim;X;48,18361111;7,507222222;1401;15. Jh. Anfang;Elsass;Elsass;i
4;Geisweiler Kanton Hochfelden;X;48,788056;7,505;1550;16. Jh.;Elsass;Elsass;
4;Jebsheim bei Colmar;X;48,123611;7,476667;1590;16. Jh. Ende;Elsass;Elsass;i
5;Dangolsheim Traenheim;;48,57138889;7,467222222;NN;NN;Elsass;Elsass;ei
4;Sierenz bei HÃ¼ningen und MÃ¼hlhausen;X;47,655556;7,455833;1425;1425;Elsass;Elsass;
4;Leberach bei Schletsstadt;X;48,259444;7,454167;1202;13. Jh. Anfang;Elsass;Elsass;
5;Barr;;48,40805556;7,449722222;1361;1361;Elsass;Elsass;ei
5;Wasselnheim Brechlingen;;48,6375;7,448333333;1529;1529;Elsass;Elsass;ei
1;Euchhofen ;Eichhoffen;48,383611;7,441667;NN;NN;Elsass;Elsass;ei
1;Gressweiler (J. Grimm findet diesen Ort nicht);X;48,535278;7,430556;NN;NN;Elsass;Elsass;
4;Sundhofen;;48,04333333;7,413611111;NN;NN;Elsass;Elsass;i_ei
5;Romanswiller;;48,64527778;7,406944444;1344;1344;Elsass;Elsass;ei
5;Romanswiller;;48,64527778;7,406944444;1589;1589;Elsass;Elsass;ei
6;Wir bei Horburg;;48,079444;7,394444;1598;1598;Elsass;Elsass;i
1;Molkirch bei Berse und Haslach;X;48,5072;7,3861;1548;1548;Elsass;Elsass;
4;Berentzwiller bei HÃ¼ningen;;47,59;7,38;1420;1420;Elsass;Elsass;i
4;Obereutzen;X;47,943611;7,377778;1461;1461;Elsass;Elsass;
4;Werentzhausen bei Altkirch;X;47,516944;7,3575;1420;1420;Elsass;Elsass;i
4;St. Catharina Dinghof Hochenburg;X;48,081111;7,355;1514;1514;Elsass;Elsass;
4;Mittelwir bei Sigolsheim;X;48,150833;7,319444;1585;1585;Elsass;Elsass;i
5;RibeauvillÃ©;X;48,19527778;7,318333333;1580;1580;Elsass;Elsass;
5;Ferrette;X;47,49388889;7,315833333;1450;1450;Elsass;Elsass;
4;Grenzingen Henflingen bei Riespach;;47,565278;7,298889;1420;1420;Elsass;Elsass;i
4;Zillisheim;;47,69527778;7,295555556;1594;1594;Elsass;Elsass;ei
4;Emlingen Wiltersdorf Tagsdorf Ã¶stl von Altkirch;;47,623611;7,291111;1420;1420;Elsass;Elsass;i
4;Riespack bei Altkirch;X;47,540556;7,287778;1390;14. Jh. Ende;Elsass;Elsass;
1;Ellstatt bei TÃ¼rkheim und Oggersheim;X;48,086389;7,280556;NN;NN;Elsass;Elsass;
4;Lutterbach;;47,75972222;7,280555556;1401;15. Jh. Anfang;Elsass;Elsass;i
4;Zimmerbach bei MÃ¼nster;;48,072778;7,236944;1450;15. Jh.;Elsass;Elsass;i
4;Reiningen;;47,750556;7,231389;1581;1581;Elsass;Elsass;ei
4;Aspach;;47,64;7,23;1420;1420;Elsass;Elsass;i
